availability_of_water,location,distant_from_school,room_type,apartment_type,price
yes,Rimi gata,10,single room,duplex,118183
yes,Jabulo,15,self contain,duplex,211554
yes,Danbare,15,self contain,bungalow,154516
yes,Danbare,5,single room,bungalow,136047
yes,Danbare,10,single room,bungalow,144844
yes,Danbare,15,single room,bungalow,117024
yes,Rimi gata,15,single room,bungalow,148841
yes,Hawa dawai ke,10,single room,duplex,113333
yes,Rimi gata,10,self contain,bungalow,210899
yes,Jabulo,15,self contain,duplex,103624
yes,Rimi gata,15,self contain,bungalow,138762
yes,Danbare,5,single room,duplex,113349
yes,Danbare,10,single room,bungalow,143259
yes,Rimi gata,15,self contain,bungalow,178198
yes,Danbare,5,single room,bungalow,134100
yes,Rimi gata,15,self contain,bungalow,198035
yes,Danbare,10,self contain,bungalow,240516
yes,Jabulo,15,single room,bungalow,101666
yes,Hawa dawai ke,5,self contain,bungalow,159967
yes,Hawa dawai ke,10,single room,bungalow,123547
yes,Danbare,5,self contain,duplex,120211
yes,Hawa dawai ke,10,single room,bungalow,114478
yes,Danbare,10,single room,bungalow,148586
yes,Hawa dawai ke,5,self contain,duplex,140641
yes,Danbare,5,self contain,duplex,209607
yes,Jabulo,10,self contain,bungalow,127510
yes,Jabulo,15,self contain,bungalow,143592
yes,Hawa dawai ke,15,single room,duplex,146130
yes,Hawa dawai ke,15,self contain,bungalow,180896
yes,Rimi gata,5,self contain,duplex,120492
yes,Hawa dawai ke,10,single room,bungalow,119442
yes,Danbare,5,self contain,duplex,168488
yes,Rimi gata,10,single room,bungalow,107150
yes,Jabulo,5,single room,bungalow,145587
yes,Rimi gata,10,self contain,bungalow,129895
yes,Rimi gata,15,self contain,bungalow,167028
yes,Hawa dawai ke,5,self contain,bungalow,101280
yes,Hawa dawai ke,10,single room,bungalow,108181
yes,Rimi gata,10,self contain,bungalow,131478
yes,Jabulo,10,single room,duplex,137571
yes,Rimi gata,10,self contain,bungalow,131196
yes,Hawa dawai ke,5,self contain,bungalow,127629
yes,Hawa dawai ke,10,self contain,duplex,181306
yes,Danbare,5,single room,bungalow,111886
yes,Jabulo,10,self contain,bungalow,138137
yes,Danbare,15,single room,bungalow,148324
yes,Hawa dawai ke,5,single room,duplex,124803
yes,Jabulo,15,self contain,duplex,150566
yes,Danbare,5,self contain,bungalow,177295
yes,Jabulo,10,self contain,bungalow,207105
yes,Jabulo,10,single room,duplex,104510
yes,Danbare,5,self contain,duplex,173905
yes,Danbare,10,single room,duplex,101064
yes,Jabulo,10,self contain,duplex,184528
yes,Rimi gata,5,self contain,bungalow,114972
yes,Danbare,5,single room,duplex,118314
yes,Hawa dawai ke,5,single room,bungalow,137747
yes,Jabulo,15,single room,duplex,138214
yes,Rimi gata,15,single room,bungalow,117530
yes,Rimi gata,15,self contain,duplex,194558
yes,Danbare,5,single room,duplex,113174
yes,Danbare,5,self contain,duplex,123957
yes,Jabulo,15,self contain,bungalow,110274
yes,Jabulo,15,self contain,duplex,200645
yes,Jabulo,10,single room,duplex,130194
yes,Jabulo,15,single room,duplex,124180
yes,Jabulo,15,self contain,bungalow,109043
yes,Danbare,10,self contain,bungalow,221627
yes,Rimi gata,15,single room,bungalow,146882
yes,Danbare,15,self contain,bungalow,150543
yes,Hawa dawai ke,15,single room,bungalow,147280
yes,Danbare,10,single room,duplex,122895
yes,Hawa dawai ke,5,single room,bungalow,108034
yes,Hawa dawai ke,15,self contain,duplex,132587
yes,Jabulo,5,single room,bungalow,105665
yes,Rimi gata,5,single room,bungalow,138890
yes,Danbare,15,self contain,bungalow,153403
yes,Rimi gata,5,self contain,bungalow,234887
yes,Jabulo,15,single room,duplex,125087
yes,Rimi gata,10,single room,bungalow,109389
yes,Rimi gata,10,single room,bungalow,127453
yes,Jabulo,10,single room,duplex,126598
yes,Jabulo,15,single room,duplex,129015
yes,Jabulo,5,single room,bungalow,110429
yes,Danbare,10,self contain,bungalow,227823
yes,Rimi gata,5,single room,duplex,127380
yes,Rimi gata,5,self contain,duplex,145175
yes,Danbare,15,single room,bungalow,100497
yes,Danbare,10,single room,duplex,133775
yes,Jabulo,15,single room,bungalow,124515
yes,Danbare,15,self contain,duplex,106233
yes,Rimi gata,5,self contain,bungalow,171650
yes,Rimi gata,15,self contain,duplex,222051
yes,Hawa dawai ke,10,single room,bungalow,103510
yes,Hawa dawai ke,5,self contain,bungalow,115103
yes,Danbare,5,self contain,duplex,168917
yes,Hawa dawai ke,10,self contain,bungalow,200544
yes,Hawa dawai ke,5,single room,duplex,144287
yes,Hawa dawai ke,5,single room,bungalow,133976
yes,Rimi gata,5,self contain,duplex,206280
yes,Danbare,5,single room,bungalow,122478
yes,Danbare,10,self contain,duplex,126750
yes,Hawa dawai ke,5,single room,duplex,136444
yes,Jabulo,15,single room,bungalow,127333
yes,Jabulo,10,self contain,bungalow,159124
yes,Hawa dawai ke,5,single room,duplex,105481
yes,Jabulo,5,single room,duplex,128065
yes,Danbare,15,single room,bungalow,103140
yes,Jabulo,15,single room,duplex,136721
yes,Danbare,5,single room,duplex,113625
yes,Rimi gata,5,single room,bungalow,114974
yes,Rimi gata,5,self contain,bungalow,175273
yes,Danbare,5,self contain,bungalow,164512
yes,Jabulo,15,self contain,bungalow,197602
yes,Hawa dawai ke,5,single room,bungalow,122302
yes,Danbare,5,single room,duplex,126222
yes,Jabulo,10,self contain,bungalow,245577
yes,Rimi gata,10,single room,duplex,108987
yes,Rimi gata,15,single room,duplex,144636
yes,Jabulo,10,single room,bungalow,106457
yes,Hawa dawai ke,10,self contain,bungalow,116673
yes,Hawa dawai ke,10,single room,duplex,139416
yes,Danbare,15,self contain,bungalow,188051
yes,Hawa dawai ke,15,self contain,bungalow,225058
yes,Rimi gata,10,self contain,bungalow,153607
yes,Danbare,5,self contain,duplex,144569
yes,Danbare,5,single room,bungalow,139846
yes,Hawa dawai ke,15,self contain,bungalow,248316
yes,Jabulo,15,single room,bungalow,144968
yes,Jabulo,10,self contain,duplex,169366
yes,Jabulo,10,single room,duplex,109832
yes,Rimi gata,5,self contain,duplex,184863
yes,Jabulo,5,single room,duplex,122282
yes,Jabulo,10,single room,bungalow,113025
yes,Danbare,5,single room,duplex,149540
yes,Rimi gata,10,single room,duplex,137882
yes,Jabulo,15,single room,bungalow,134606
yes,Jabulo,10,self contain,duplex,223562
yes,Danbare,10,self contain,bungalow,166537
yes,Danbare,5,self contain,duplex,209991
yes,Rimi gata,15,single room,duplex,101073
yes,Jabulo,15,single room,duplex,149460
yes,Jabulo,10,single room,bungalow,125645
yes,Jabulo,10,single room,bungalow,148315
yes,Jabulo,10,self contain,duplex,109353
yes,Rimi gata,10,single room,duplex,101549
yes,Hawa dawai ke,10,self contain,bungalow,226511
yes,Hawa dawai ke,10,self contain,duplex,219554
yes,Jabulo,15,self contain,duplex,207653
yes,Danbare,10,single room,bungalow,120262
yes,Danbare,10,single room,bungalow,117629
yes,Rimi gata,10,single room,bungalow,119218
yes,Hawa dawai ke,5,single room,duplex,112328
yes,Rimi gata,15,single room,bungalow,139023
yes,Jabulo,5,single room,duplex,114898
yes,Jabulo,5,single room,duplex,112411
yes,Hawa dawai ke,15,self contain,bungalow,222466
yes,Rimi gata,10,single room,duplex,119654
yes,Rimi gata,10,single room,duplex,114629
yes,Danbare,15,single room,bungalow,122119
yes,Danbare,10,self contain,duplex,170332
yes,Danbare,5,self contain,bungalow,119269
yes,Hawa dawai ke,10,self contain,bungalow,225882
yes,Jabulo,5,single room,duplex,133297
yes,Danbare,5,self contain,duplex,192409
yes,Danbare,15,self contain,bungalow,110390
yes,Danbare,15,single room,bungalow,141394
yes,Rimi gata,10,single room,bungalow,104852
yes,Rimi gata,15,self contain,duplex,134996
yes,Danbare,10,self contain,duplex,172074
yes,Hawa dawai ke,10,single room,duplex,126376
yes,Jabulo,10,single room,duplex,149310
yes,Danbare,10,self contain,duplex,190714
yes,Rimi gata,15,self contain,bungalow,181732
yes,Rimi gata,10,self contain,bungalow,202055
yes,Jabulo,5,single room,duplex,145416
yes,Hawa dawai ke,10,single room,duplex,105850
yes,Danbare,15,self contain,bungalow,193527
yes,Hawa dawai ke,5,self contain,bungalow,221773
yes,Jabulo,15,self contain,bungalow,173210
yes,Danbare,10,single room,duplex,137516
yes,Jabulo,5,single room,bungalow,125205
yes,Hawa dawai ke,10,single room,duplex,131004
yes,Danbare,10,self contain,bungalow,161883
yes,Rimi gata,15,single room,bungalow,119607
yes,Rimi gata,10,self contain,duplex,120269
yes,Rimi gata,10,single room,bungalow,131698
yes,Rimi gata,15,single room,duplex,134062
yes,Danbare,15,single room,duplex,132095
yes,Danbare,15,single room,bungalow,120795
yes,Danbare,5,single room,bungalow,123097
yes,Jabulo,15,single room,duplex,117323
yes,Jabulo,10,self contain,bungalow,204924
yes,Hawa dawai ke,10,single room,duplex,130838
yes,Jabulo,5,self contain,duplex,213320
yes,Rimi gata,10,self contain,bungalow,125390
yes,Jabulo,5,self contain,duplex,149144
yes,Jabulo,15,single room,bungalow,119305
yes,Hawa dawai ke,10,single room,duplex,115162
yes,Danbare,5,single room,duplex,103857
yes,Rimi gata,5,self contain,bungalow,125766
yes,Danbare,15,single room,bungalow,121205
yes,Rimi gata,15,single room,bungalow,137485
yes,Danbare,5,self contain,bungalow,205091
yes,Hawa dawai ke,5,single room,bungalow,142250
yes,Danbare,10,single room,duplex,134767
yes,Rimi gata,10,single room,duplex,129989
yes,Hawa dawai ke,10,single room,bungalow,108746
yes,Danbare,15,self contain,duplex,154036
yes,Hawa dawai ke,5,self contain,bungalow,246139
yes,Hawa dawai ke,10,single room,duplex,132811
yes,Danbare,15,self contain,duplex,132256
yes,Hawa dawai ke,10,single room,duplex,102083
yes,Hawa dawai ke,10,self contain,duplex,165009
yes,Rimi gata,10,self contain,bungalow,131104
yes,Danbare,15,self contain,bungalow,128338
yes,Jabulo,15,single room,duplex,146881
yes,Jabulo,10,single room,bungalow,100589
yes,Jabulo,10,self contain,bungalow,204658
yes,Jabulo,10,single room,duplex,139777
yes,Rimi gata,5,self contain,duplex,220311
yes,Danbare,10,single room,duplex,101443
yes,Danbare,15,single room,bungalow,119360
yes,Jabulo,5,single room,bungalow,113193
yes,Hawa dawai ke,10,self contain,bungalow,173188
yes,Hawa dawai ke,5,self contain,bungalow,243565
yes,Rimi gata,10,single room,bungalow,104931
yes,Jabulo,15,self contain,bungalow,191406
yes,Danbare,15,single room,duplex,144349
yes,Jabulo,15,single room,duplex,128157
yes,Rimi gata,15,single room,duplex,100950
yes,Jabulo,10,single room,bungalow,120405
yes,Danbare,5,self contain,duplex,140426
yes,Hawa dawai ke,5,self contain,duplex,247689
yes,Jabulo,10,self contain,bungalow,146447
yes,Jabulo,5,single room,duplex,114726
yes,Jabulo,10,single room,duplex,125259
yes,Danbare,15,single room,duplex,105458
yes,Jabulo,5,self contain,duplex,164750
yes,Jabulo,15,self contain,duplex,216311
yes,Danbare,15,self contain,duplex,150044
yes,Hawa dawai ke,15,single room,duplex,104487
yes,Hawa dawai ke,15,self contain,duplex,227266
yes,Rimi gata,10,single room,bungalow,124715
yes,Rimi gata,10,self contain,duplex,107456
yes,Jabulo,10,single room,bungalow,116226
yes,Jabulo,10,self contain,duplex,185281
yes,Danbare,15,single room,bungalow,107048
yes,Jabulo,15,single room,bungalow,111778
yes,Hawa dawai ke,10,self contain,duplex,174020
yes,Rimi gata,10,self contain,duplex,236883
yes,Rimi gata,5,single room,bungalow,104672
yes,Hawa dawai ke,5,single room,bungalow,129278
yes,Hawa dawai ke,5,self contain,duplex,122415
yes,Rimi gata,5,single room,duplex,128062
yes,Rimi gata,15,single room,bungalow,100413
yes,Jabulo,10,self contain,duplex,200938
yes,Hawa dawai ke,15,self contain,duplex,166103
yes,Danbare,5,single room,duplex,118925
yes,Rimi gata,5,single room,duplex,144810
yes,Danbare,5,single room,bungalow,127786
yes,Danbare,5,self contain,bungalow,141524
yes,Hawa dawai ke,10,self contain,bungalow,156779
yes,Jabulo,5,self contain,bungalow,245057
yes,Jabulo,10,self contain,bungalow,112850
yes,Danbare,15,self contain,duplex,198713
yes,Hawa dawai ke,10,single room,bungalow,103903
yes,Danbare,15,single room,bungalow,126947
yes,Rimi gata,15,self contain,bungalow,140618
yes,Jabulo,15,single room,bungalow,116562
yes,Jabulo,10,self contain,bungalow,110448
yes,Rimi gata,15,single room,bungalow,104144
yes,Danbare,15,single room,duplex,136056
yes,Hawa dawai ke,10,single room,duplex,134263
yes,Rimi gata,15,single room,bungalow,130692
yes,Hawa dawai ke,10,single room,bungalow,129767
yes,Hawa dawai ke,5,single room,duplex,117683
yes,Rimi gata,5,single room,bungalow,126997
yes,Danbare,15,self contain,bungalow,163223
yes,Hawa dawai ke,15,single room,duplex,108529
yes,Rimi gata,15,single room,bungalow,118116
yes,Rimi gata,15,self contain,bungalow,205267
yes,Rimi gata,10,single room,duplex,103814
yes,Hawa dawai ke,5,self contain,duplex,180125
yes,Danbare,5,self contain,duplex,240048
yes,Hawa dawai ke,15,single room,duplex,116099
yes,Rimi gata,10,self contain,duplex,172725
yes,Hawa dawai ke,5,single room,duplex,144133
yes,Hawa dawai ke,5,self contain,bungalow,190481
yes,Danbare,15,self contain,duplex,114979
yes,Hawa dawai ke,15,single room,duplex,114612
yes,Jabulo,5,single room,duplex,138227
yes,Hawa dawai ke,15,self contain,bungalow,152234
yes,Danbare,15,single room,bungalow,119860
yes,Danbare,15,self contain,duplex,124018
yes,Rimi gata,10,single room,bungalow,117282
yes,Danbare,15,self contain,bungalow,194853
yes,Jabulo,5,single room,bungalow,115525
yes,Rimi gata,15,single room,bungalow,133977
yes,Jabulo,10,single room,bungalow,144298
yes,Danbare,10,self contain,duplex,181477
yes,Hawa dawai ke,15,self contain,duplex,163969
yes,Jabulo,15,self contain,duplex,147062
yes,Rimi gata,5,self contain,bungalow,112709
yes,Hawa dawai ke,5,single room,duplex,109025
yes,Jabulo,15,self contain,duplex,239485
yes,Hawa dawai ke,5,single room,duplex,146374
yes,Jabulo,5,single room,duplex,106282
yes,Danbare,5,self contain,bungalow,139591
yes,Rimi gata,10,single room,bungalow,102668
yes,Rimi gata,15,single room,duplex,138401
yes,Jabulo,15,single room,bungalow,107834
yes,Jabulo,5,self contain,bungalow,132039
yes,Hawa dawai ke,15,single room,bungalow,134512
yes,Hawa dawai ke,15,single room,bungalow,136182
yes,Jabulo,5,self contain,bungalow,237369
yes,Danbare,15,single room,duplex,124382
yes,Jabulo,5,single room,bungalow,123213
yes,Hawa dawai ke,10,self contain,bungalow,130565
yes,Jabulo,5,self contain,bungalow,162636
yes,Danbare,5,self contain,bungalow,232867
yes,Rimi gata,15,single room,duplex,132579
yes,Jabulo,15,single room,bungalow,133505
yes,Danbare,5,self contain,bungalow,100212
yes,Danbare,15,single room,duplex,138697
yes,Rimi gata,15,self contain,bungalow,204832
yes,Danbare,10,single room,bungalow,124031
yes,Jabulo,15,self contain,bungalow,209566
yes,Rimi gata,5,single room,duplex,140195
yes,Danbare,5,single room,duplex,130487
yes,Jabulo,5,single room,bungalow,137276
yes,Rimi gata,10,self contain,bungalow,114563
yes,Rimi gata,10,single room,bungalow,134400
yes,Danbare,15,self contain,duplex,162697
yes,Jabulo,15,single room,bungalow,133476
yes,Hawa dawai ke,10,self contain,bungalow,166972
yes,Jabulo,10,self contain,duplex,159913
yes,Hawa dawai ke,5,self contain,bungalow,241119
yes,Danbare,10,single room,duplex,129377
yes,Jabulo,10,single room,bungalow,114764
yes,Hawa dawai ke,15,self contain,duplex,218210
yes,Hawa dawai ke,5,single room,bungalow,130601
yes,Jabulo,10,self contain,duplex,223250
yes,Danbare,5,single room,duplex,138470
yes,Hawa dawai ke,15,self contain,bungalow,200023
yes,Rimi gata,10,self contain,bungalow,123682
yes,Danbare,5,self contain,duplex,237775
yes,Hawa dawai ke,10,single room,bungalow,141573
yes,Rimi gata,15,single room,duplex,141688
yes,Jabulo,15,self contain,duplex,193768
yes,Hawa dawai ke,5,single room,bungalow,128757
yes,Danbare,5,self contain,duplex,140359
yes,Rimi gata,15,self contain,bungalow,115265
yes,Jabulo,15,single room,bungalow,100494
yes,Rimi gata,15,self contain,bungalow,168567
yes,Rimi gata,15,single room,bungalow,100612
yes,Jabulo,15,single room,duplex,134021
yes,Danbare,15,single room,duplex,149300
yes,Danbare,10,self contain,duplex,247232
yes,Hawa dawai ke,10,self contain,duplex,221785
yes,Rimi gata,10,single room,duplex,139752
yes,Jabulo,15,single room,bungalow,110797
yes,Danbare,10,single room,bungalow,140510
yes,Hawa dawai ke,5,single room,bungalow,112816
yes,Rimi gata,10,single room,duplex,107339
yes,Hawa dawai ke,10,single room,duplex,121672
yes,Jabulo,5,self contain,bungalow,177110
yes,Rimi gata,15,self contain,duplex,143880
yes,Danbare,10,single room,bungalow,101008
yes,Danbare,15,single room,duplex,115010
yes,Jabulo,10,single room,duplex,111424
yes,Rimi gata,10,single room,bungalow,103390
yes,Danbare,15,self contain,bungalow,204278
yes,Hawa dawai ke,15,single room,duplex,121681
yes,Danbare,10,self contain,duplex,120634
yes,Danbare,10,self contain,duplex,235029
yes,Danbare,5,single room,bungalow,114940
yes,Danbare,5,single room,duplex,148362
yes,Danbare,10,self contain,bungalow,186959
